# Datacard for <Channel (ggFpt500toInf) instance at 0x7f3a19e4ffa0> generated on 2024-11-07 10:57:14.583323
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 12 # number of samples minus 1
kmax 148 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 172.000
bin                                                            ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets           wzqq        diboson       ewkvjets           fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7              8
rate                                                                   6.041          1.731          1.510          0.818          0.242         42.319        124.321          4.657          2.643          0.906         17.996          9.856          0.446
BR_hww lnN                                                     0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape              -              -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                     -              -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                    -              -              -              -              -              -              -              -              -              -              -              -         1.2500
CMS_HWW_boosted_TopPtReweight shape                                        -              -              -              -              -         1.0000              -              -              -              -              -              -              -
CMS_HWW_boosted_W_d1kappa_EW lnN                                           -              -              -              -              -              -         1.0080              -         1.0090              -              -              -              -
CMS_HWW_boosted_W_d2kappa_EW lnN                                           -              -              -              -              -              -  1.0015/1.0130              -              -              -              -              -              -
CMS_HWW_boosted_W_d3kappa_EW lnN                                           -              -              -              -              -              -         1.0080              -              -              -              -              -              -
CMS_HWW_boosted_Z_d2kappa_EW lnN                                           -              -              -              -              -              -              -              -         1.0131              -              -              -              -
CMS_HWW_boosted_Z_d3kappa_EW lnN                                           -              -              -              -              -              -              -              -         1.0103              -              -              -              -
CMS_HWW_boosted_btagSFbcCorrelated lnN                         0.9872/1.0499  0.9856/1.0336  0.9350/1.1710  0.9701/1.1028  0.9963/1.2824  0.9966/1.1160  0.9796/1.0731  1.0427/1.1091  0.9231/1.1125  0.9832/1.0490  0.9811/1.0284  1.0112/1.0335              -
CMS_HWW_boosted_btagSFbc_2016 lnN                                     1.0046         1.0045  0.9845/1.0313  0.9935/1.0170  1.0019/1.0446  0.9923/1.0214         1.0050         1.0080  0.9953/1.0156              -              -  0.9833/1.0246              -
CMS_HWW_boosted_btagSFbc_2016APV lnN                           0.9956/1.0125         1.0060  0.9709/1.0586  0.9880/1.0335  0.9879/1.1179  0.9896/1.0358  0.9938/1.0158  0.9986/1.0968  0.9912/1.0330              -  0.9958/1.0110  0.9848/1.0198              -
CMS_HWW_boosted_btagSFbc_2017 lnN                              0.9884/1.0193  0.9839/1.0187  0.9392/1.0662  0.9688/1.0410  0.9508/1.1286  0.9799/1.0522  0.9785/1.0385  0.9969/1.0347  0.9238/1.0903  0.9651/1.0671  0.9758/1.0269  0.9981/1.0151              -
CMS_HWW_boosted_btagSFbc_2018 lnN                              0.9917/1.0301  0.9943/1.0178  0.9544/1.1180  0.9797/1.0647  1.0061/1.0968  0.9999/1.0573  0.9882/1.0398         1.0163  0.9843/1.0136              -              -  1.0069/1.0200              -
CMS_HWW_boosted_btagSFlightCorrelated lnN                             0.9999         1.0006         1.0013         1.0025         0.9964         0.9998         1.0009         1.0003         1.0010         1.0003         1.0006         1.0003              -
CMS_HWW_boosted_btagSFlight_2016 lnN                                  1.0002         1.0011         1.0000         1.0004         0.9973         1.0002         1.0008         1.0002         1.0010         1.0003         1.0004         1.0002              -
CMS_HWW_boosted_btagSFlight_2016APV lnN                               1.0000         1.0009         1.0013         1.0019         0.9972         1.0000         1.0011         1.0003         1.0011         1.0003         1.0006         1.0002              -
