# Datacard for <Channel (SR1fail2016APV) instance at 0x7f3fe0e5f5b0> generated on 2024-12-08 17:57:31.656304
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 89 # number of nuisance parameters
shapes * SR1fail2016APV shapes2016APV.root shapes2016APV:SR1fail2016APV_$PROCESS shapes2016APV:SR1fail2016APV_$PROCESS_$SYSTEMATIC
bin SR1fail2016APV
observation 780.000
bin                                                SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV  SR1fail2016APV
process                                                        WH              ZH             VBF             ggF             ttH        WJetsLNu           TTbar       SingleTop          DYJets         Diboson
process                                                        -4              -3              -2              -1               0               1               2               3               4               5
rate                                                        0.602           0.515           0.348           2.877           0.578         247.377          87.977           4.585           4.552           5.379
BR_hww lnN                                          0.9848/1.0153   0.9848/1.0153   0.9848/1.0153   0.9848/1.0153   0.9848/1.0153               -               -               -               -               -
CMS_HWW_boosted_SR1_fail_mcstat_bin0 shape                 1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin1 shape                 1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin2 shape                 1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin3 shape                 1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_W_d1kappa_EW lnN                                -               -               -               -               -          0.9969               -               -          0.9984               -
CMS_HWW_boosted_W_d2kappa_EW lnN                                -               -               -               -               -          0.9969               -               -               -               -
CMS_HWW_boosted_W_d3kappa_EW lnN                                -               -               -               -               -          0.9969               -               -               -               -
CMS_HWW_boosted_Z_d2kappa_EW lnN                                -               -               -               -               -               -               -               -          0.9984               -
CMS_HWW_boosted_Z_d3kappa_EW lnN                                -               -               -               -               -               -               -               -          0.9984               -
CMS_HWW_boosted_btagSFbcCorrelated lnN                     1.0163          1.0163          1.0165          1.0164          1.0164          0.9970          0.9978          0.9960          0.9984          0.9964
CMS_HWW_boosted_btagSFbcCorrelated_2016APV lnN             1.0163          1.0163          1.0165          1.0164          1.0164          0.9971          0.9982          0.9961          0.9985          0.9965
CMS_HWW_boosted_btagSFlightCorrelated lnN                  1.0163          1.0163          1.0165          1.0164          1.0163          0.9969          0.9976          0.9958          0.9984          0.9964
CMS_HWW_boosted_btagSFlightCorrelated_2016APV lnN          1.0163          1.0163          1.0165          1.0164          1.0163          0.9970          0.9977          0.9958          0.9985          0.9964
CMS_HWW_boosted_d1K_NLO lnN                                     -               -               -               -               -   0.9147/1.0811               -               -               -               -
CMS_HWW_boosted_d2K_NLO lnN                                     -               -               -               -               -   0.9281/1.0672               -               -               -               -
CMS_HWW_boosted_d3K_NLO lnN                                     -               -               -               -               -   0.9811/1.0127               -               -               -               -
CMS_HWW_boosted_ele_identification lnN                     1.0055          1.0053          1.0028          1.0054          1.0049          0.9969          0.9976          0.9958          0.9984          0.9964
CMS_HWW_boosted_ele_reconstruction lnN                     1.0055          1.0053          1.0028          1.0054          1.0049          0.9969          0.9976          0.9958          0.9984          0.9964
CMS_HWW_boosted_jmr_2016APV shape                          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500
CMS_HWW_boosted_jms_2016APV shape                          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500          0.2500
CMS_HWW_boosted_miniisolation_SF_unc lnN            0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200   0.9800/1.0200
CMS_HWW_boosted_mu_identification lnN                      1.0108          1.0109          1.0136          1.0110          1.0114          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_mu_isolation lnN                           1.0108          1.0109          1.0136          1.0110          1.0114          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_mu_trigger lnN                             1.0108          1.0109          1.0136          1.0110          1.0114          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_mu_trigger_iso lnN                         1.0108          1.0109          1.0136          1.0110          1.0114          1.0000          1.0000          1.0000          1.0000          1.0000
CMS_HWW_boosted_tagger lnN                          0.9070/1.2440   0.9070/1.2440   0.9070/1.2440   0.9070/1.2440   0.9070/1.2440               -               -               -               -               -
CMS_HWW_boosted_top_reweighting shape                           -               -               -               -               -               -          1.0000               -               -               -
CMS_HWW_boosted_veff_2016APV lnN                           1.0291               -          1.0291          1.0291          1.0291               -          1.0291          1.0291               -          1.0291
CMS_lumi_13TeV_2016APV lnN                                 1.0100          1.0100          1.0100          1.0100          1.0100          1.0100          1.0100          1.0100          1.0100          1.0100
CMS_lumi_13TeV_correlated lnN                              1.0060          1.0060          1.0060          1.0060          1.0060          1.0060          1.0060          1.0060          1.0060          1.0060
CMS_pileup_2016APV lnN                                     1.0201          1.0213          1.0198          1.0195          1.0176          1.0071          1.0018          0.9968          0.9982          1.0016
CMS_pileup_id lnN                                          1.0163          1.0163          1.0165          1.0164          1.0163          0.9969          0.9976          0.9958          0.9984          0.9964
CMS_res_j_2016APV lnN                                      1.0132          1.0183          1.0441          1.0172          1.0111          0.9979          0.9971          0.9852          1.0073          0.9830
CMS_scale_j_Abs lnN                                        1.0176          1.0158          1.0165          1.0187          1.0148          0.9931          0.9974          0.9852          0.9960          0.9733
CMS_scale_j_Abs_2016APV lnN                                1.0182          1.0164          1.0165          1.0171          1.0139          0.9945          0.9978          0.9886          0.9933          0.9733
