# Datacard for <Channel (SR1fail2018) instance at 0x7f5a651a8640> generated on 2024-12-08 17:57:58.200605
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 87 # number of nuisance parameters
shapes * SR1fail2018 shapes2018.root shapes2018:SR1fail2018_$PROCESS shapes2018:SR1fail2018_$PROCESS_$SYSTEMATIC
bin SR1fail2018
observation 2244.000
bin                                                SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018    SR1fail2018  SR1fail2018
process                                                     WH             ZH            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson         fake
process                                                     -3             -2             -1              0              1              2              3              4              5            6
rate                                                     2.145          1.840          8.829          1.924        796.085        246.440         17.734          9.805         10.595       11.233
BR_hww lnN                                       0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -            -
CMS_HWW_FakeRate_EWK_SF_uncertainty shape                    -              -              -              -              -              -              -              -              -       1.0000
CMS_HWW_FakeRate_SF_flavor_uncertainty shape                 -              -              -              -              -              -              -              -              -       1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                      -              -              -              -              -              -              -              -              -       1.3000
CMS_HWW_boosted_SR1_fail_mcstat_bin0 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin1 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin2 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin3 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_W_d1kappa_EW lnN                             -              -              -              -         1.0034              -              -         1.0064              -            -
CMS_HWW_boosted_W_d2kappa_EW lnN                             -              -              -              -         1.0034              -              -              -              -            -
CMS_HWW_boosted_W_d3kappa_EW lnN                             -              -              -              -         1.0034              -              -              -              -            -
