# Datacard for <Channel (SR1fail2016) instance at 0x7f8245214ac0> generated on 2024-12-08 17:55:29.060227
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 9 # number of samples minus 1
kmax 89 # number of nuisance parameters
shapes * SR1fail2016 shapes2016.root shapes2016:SR1fail2016_$PROCESS shapes2016:SR1fail2016_$PROCESS_$SYSTEMATIC
bin SR1fail2016
observation 587.000
bin                                                SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016    SR1fail2016
process                                                     WH             ZH            VBF            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson
process                                                     -4             -3             -2             -1              0              1              2              3              4              5
rate                                                     0.569          0.453          0.329          2.594          0.488        202.424         79.004          2.911          2.564          4.352
BR_hww lnN                                       0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -
CMS_HWW_boosted_SR1_fail_mcstat_bin0 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin1 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin2 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin3 shape              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_W_d1kappa_EW lnN                             -              -              -              -              -         0.9970              -              -         0.9949              -
CMS_HWW_boosted_W_d2kappa_EW lnN                             -              -              -              -              -         0.9970              -              -              -              -
CMS_HWW_boosted_W_d3kappa_EW lnN                             -              -              -              -              -         0.9970              -              -              -              -
CMS_HWW_boosted_Z_d2kappa_EW lnN                             -              -              -              -              -              -              -              -         0.9949              -
CMS_HWW_boosted_Z_d3kappa_EW lnN                             -              -              -              -              -              -              -              -         0.9949              -
CMS_HWW_boosted_btagSFbcCorrelated lnN                  1.0163         1.0166         1.0164         1.0164         1.0164         0.9972         0.9973         0.9992         0.9950         1.0044
CMS_HWW_boosted_btagSFbcCorrelated_2016 lnN             1.0163         1.0167         1.0164         1.0164         1.0166         0.9974         0.9975         0.9992         0.9951         1.0051
CMS_HWW_boosted_btagSFlightCorrelated lnN               1.0163         1.0163         1.0164         1.0164         1.0163         0.9970         0.9972         0.9990         0.9949         1.0035
CMS_HWW_boosted_btagSFlightCorrelated_2016 lnN          1.0163         1.0163         1.0164         1.0164         1.0163         0.9970         0.9972         0.9990         0.9949         1.0035
CMS_HWW_boosted_d1K_NLO lnN                                  -              -              -              -              -  0.9129/1.0834              -              -              -              -
CMS_HWW_boosted_d2K_NLO lnN                                  -              -              -              -              -  0.9267/1.0689              -              -              -              -
CMS_HWW_boosted_d3K_NLO lnN                                  -              -              -              -              -  0.9810/1.0130              -              -              -              -
CMS_HWW_boosted_ele_identification lnN                  1.0048         1.0052         1.0070         1.0056         1.0053         0.9970         0.9972         0.9990         0.9949         1.0034
CMS_HWW_boosted_ele_reconstruction lnN                  1.0048         1.0052         1.0070         1.0056         1.0053         0.9970         0.9972         0.9990         0.9949         1.0034
CMS_HWW_boosted_jmr_2016 shape                          0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500
CMS_HWW_boosted_jms_2016 shape                          0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500
CMS_HWW_boosted_miniisolation_SF_unc lnN         0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200
CMS_HWW_boosted_mu_identification lnN                   1.0115         1.0111         1.0094         1.0108         1.0110         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_mu_isolation lnN                        1.0115         1.0111         1.0094         1.0108         1.0110         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_mu_trigger lnN                          1.0115         1.0111         1.0094         1.0108         1.0110         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_mu_trigger_iso lnN                      1.0115         1.0111         1.0094         1.0108         1.0110         1.0000         1.0000         1.0000         1.0000         1.0000
CMS_HWW_boosted_tagger lnN                       0.9070/1.2440  0.9070/1.2440  0.9070/1.2440  0.9070/1.2440  0.9070/1.2440              -              -              -              -              -
CMS_HWW_boosted_top_reweighting shape                        -              -              -              -              -              -         1.0000              -              -              -
CMS_HWW_boosted_veff_2016 lnN                           1.0299              -         1.0299         1.0299         1.0299              -         1.0299         1.0299              -         1.0299
CMS_lumi_13TeV_2016 lnN                                 1.0100         1.0100         1.0100         1.0100         1.0100         1.0100         1.0100         1.0100         1.0100         1.0100
CMS_lumi_13TeV_correlated lnN                           1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060
CMS_pileup_2016 lnN                                     1.0154         1.0143         1.0102         1.0168         1.0178         1.0133         0.9995         1.0045         1.0233         1.0223
CMS_pileup_id lnN                                       1.0163         1.0163         1.0164         1.0164         1.0163         0.9970         0.9972         0.9990         0.9949         1.0034
CMS_res_j_2016 lnN                                      1.0059         1.0183         0.9899         1.0163         1.0257         1.0034         1.0005         0.9990         0.9947         1.0036
CMS_scale_j_Abs lnN                                     1.0083         1.0150         0.9905         1.0130         1.0227         0.9973         0.9975         1.0344         1.0108         1.0034
CMS_scale_j_Abs_2016 lnN                                1.0109         1.0154         0.9798         1.0162         1.0270         1.0011         0.9996         1.0344         1.0125         0.9902
CMS_scale_j_BBEC1 lnN                                   1.0152         1.0154         1.0080         1.0168         1.0207         0.9994         0.9985         0.9990         0.9936         1.0034
