# Datacard for <Channel (SR1fail2017) instance at 0x7f366af65760> generated on 2024-12-08 17:57:43.409240
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 10 # number of samples minus 1
kmax 94 # number of nuisance parameters
shapes * SR1fail2017 shapes2017.root shapes2017:SR1fail2017_$PROCESS shapes2017:SR1fail2017_$PROCESS_$SYSTEMATIC
bin SR1fail2017
observation 1685.000
bin                                                      SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017  SR1fail2017
process                                                           WH             ZH            VBF            ggF            ttH       WJetsLNu          TTbar      SingleTop         DYJets        Diboson         fake
process                                                           -4             -3             -2             -1              0              1              2              3              4              5            6
rate                                                           1.716          1.348          1.002          6.638          1.502        613.457        206.599         13.498          9.014         12.278       12.038
BR_hww lnN                                             0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -            -
CMS_HWW_FakeRate_EWK_SF_statistical_uncertainty shape              -              -              -              -              -              -              -              -              -              -       1.0000
CMS_HWW_FakeRate_SF_flavor_uncertainty shape                       -              -              -              -              -              -              -              -              -              -       1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                            -              -              -              -              -              -              -              -              -              -       1.3000
CMS_HWW_boosted_SR1_fail_mcstat_bin0 shape                    1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin1 shape                    1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin2 shape                    1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_SR1_fail_mcstat_bin3 shape                    1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000       1.0000
CMS_HWW_boosted_W_d1kappa_EW lnN                                   -              -              -              -              -         1.0201              -              -         1.0304              -            -
CMS_HWW_boosted_W_d2kappa_EW lnN                                   -              -              -              -              -         1.0201              -              -              -              -            -
CMS_HWW_boosted_W_d3kappa_EW lnN                                   -              -              -              -              -         1.0201              -              -              -              -            -
CMS_HWW_boosted_Z_d2kappa_EW lnN                                   -              -              -              -              -              -              -              -         1.0304              -            -
CMS_HWW_boosted_Z_d3kappa_EW lnN                                   -              -              -              -              -              -              -              -         1.0304              -            -
CMS_HWW_boosted_btagSFbcCorrelated lnN                        1.0163         1.0163         1.0166         1.0164         1.0165         1.0203         1.0189         1.0258         1.0305         1.0265            -
CMS_HWW_boosted_btagSFbcCorrelated_2017 lnN                   1.0164         1.0163         1.0166         1.0164         1.0170         1.0206         1.0199         1.0268         1.0305         1.0269            -
CMS_HWW_boosted_btagSFlightCorrelated lnN                     1.0163         1.0163         1.0164         1.0164         1.0163         1.0201         1.0178         1.0254         1.0304         1.0265            -
CMS_HWW_boosted_btagSFlightCorrelated_2017 lnN                1.0163         1.0163         1.0164         1.0164         1.0163         1.0202         1.0178         1.0254         1.0304         1.0266            -
CMS_HWW_boosted_d1K_NLO lnN                                        -              -              -              -              -  0.9370/1.1051              -              -              -              -            -
CMS_HWW_boosted_d2K_NLO lnN                                        -              -              -              -              -  0.9503/1.0914              -              -              -              -            -
CMS_HWW_boosted_d3K_NLO lnN                                        -              -              -              -              -  1.0044/1.0359              -              -              -              -            -
CMS_HWW_boosted_ele_identification lnN                        1.0053         1.0057         1.0054         1.0058         1.0054         1.0201         1.0178         1.0254         1.0304         1.0264            -
CMS_HWW_boosted_ele_reconstruction lnN                        1.0053         1.0057         1.0054         1.0058         1.0054         1.0201         1.0178         1.0254         1.0304         1.0264            -
CMS_HWW_boosted_jmr_2017 shape                                0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500            -
CMS_HWW_boosted_jms_2017 shape                                0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500         0.2500            -
CMS_HWW_boosted_miniisolation_SF_unc lnN               0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200  0.9800/1.0200            -
CMS_HWW_boosted_mu_identification lnN                         1.0110         1.0105         1.0110         1.0106         1.0109         1.0000         1.0000         1.0000         1.0000         1.0000            -
